MouseID,Treatment,relab,Acetate,Butyrate,Formate,Lactate,Propionate,Pyruvate,Succinate,total_acids,acetate_ratio,propionate_ratio,butyrate_ratio,lactate_ratio,formate_ratio,pyruvate_ratio,succinate_ratio
LQ1,2FL,0.103333333,22.82419492,5.217390525,0.027567374,0.536768573,5.326599736,0.03525443,0.449560246,34.4173358,0.66,0.15,0.15,0.02,0,0,0.01
LQ2,2FL,0.118333333,21.74852011,6.425287483,0.033786138,0.312783009,3.50296071,0.046673634,0.297109027,32.36712011,0.67,0.11,0.2,0.01,0,0,0.01
LQ3,2FL,0.153,16.9394286,4.45966173,0.023979155,0.562126734,2.94159675,0.043808072,0.238408139,25.20900918,0.67,0.12,0.18,0.02,0,0,0.01
MB1,2FL,0.052,15.3331174,3.035309367,0.070186805,5.639239833,5.312061342,0.021056042,2.418205382,31.82917617,0.48,0.17,0.1,0.18,0,0,0.08
MB2,2FL,0.005666667,50.93944862,20.31148482,0.032459424,0.31148563,4.900124645,0.026841447,0.106117349,76.62796194,0.66,0.06,0.27,0,0,0,0
MB3,2FL,0.065666667,23.23385825,4.605584911,0.067481098,1.267015781,7.055265101,0.031413614,1.131471852,37.39209061,0.62,0.19,0.12,0.03,0,0,0.03
MB4,2FL,0.007666667,41.63542949,8.377547261,0.040849674,0.445982323,10.21337967,0.051903115,0.693963874,61.45905541,0.68,0.17,0.14,0.01,0,0,0.01
MB5,2FL,0.045666667,50.96539149,5.537340605,0.036429872,0.645618294,15.02833431,0.027322404,1.671726367,73.91216334,0.69,0.2,0.07,0.01,0,0,0.02
MB6,2FL,0.046666667,24.67234603,2.786365246,0.033690049,1.309287794,9.505217999,0.047562422,3.573787572,41.92825711,0.59,0.23,0.07,0.03,0,0,0.09
LL1,control,0.026,38.89776518,9.845354401,0.044104317,0.405909224,4.347265367,0.017193208,0.201459551,53.75905125,0.72,0.08,0.18,0.01,0,0,0
LL2,control,0.165333333,25.12588158,8.45965956,0.04321892,0.40317924,3.38291656,0.04706718,0.43159716,37.8935202,0.66,0.09,0.22,0.01,0,0,0.01
LL3,control,0.054,32.70610321,11.56587915,0.05287259,0.335489175,6.053282165,0,0.552015021,51.26564131,0.64,0.12,0.23,0.01,0,0,0.01
LR1,control,0.002,8.291570271,2.863847458,0.034132493,0.789642102,1.668553802,0.037414464,0.377426608,14.0625872,0.59,0.12,0.2,0.06,0,0,0.03
LR2,control,0.005333333,15.97706677,3.911979375,0.033782741,0.635053537,2.667906707,0.039051608,0.335657872,23.60049861,0.68,0.11,0.17,0.03,0,0,0.01
LR3,control,0.021,13.0430582,3.644573632,0.032252864,0.34648791,2.469647872,0.049761562,0.205496819,19.79127886,0.66,0.12,0.18,0.02,0,0,0.01
MD1,control,0.009666667,33.39864512,15.20750704,0.036375662,0.429894192,2.639715683,0.032242064,0.133101856,51.87748162,0.64,0.05,0.29,0.01,0,0,0
MD2,control,0.011333333,30.0034153,11.08636351,0.034988908,0.510326024,3.399897792,0.04693634,0.330261156,45.41218903,0.66,0.07,0.24,0.01,0,0,0.01
MD3,control,0.025666667,27.41489366,9.621179752,0.047805305,0.435318003,4.248877545,0.045632336,0.134724041,41.94843064,0.65,0.1,0.23,0.01,0,0,0
LO1,MP80,0.165666667,26.23980036,9.447214358,0.042465199,0.267715385,3.234371113,0.052066027,0.204202218,39.48783466,0.66,0.08,0.24,0.01,0,0,0.01
LO2,MP80,0.011666667,19.9613817,10.07965296,0.03620565,0.52940706,3.17724693,0.04666506,0.26228982,34.09284918,0.59,0.09,0.3,0.02,0,0,0.01
LO3,MP80,0.131333333,16.62621363,3.597606643,0.025191967,0.65644452,2.609306407,0.029067654,0.513528554,24.05735938,0.69,0.11,0.15,0.03,0,0,0.02
MC1,MP80,0.017,31.43790622,7.047929774,0.041757441,0.842410978,3.787218317,0.023602032,0.073831997,43.25465676,0.73,0.09,0.16,0.02,0,0,0
MC2,MP80,0.005,35.05957264,13.17262375,0.072042116,0.325574946,2.298420573,0,1.9603768,52.88861083,0.66,0.04,0.25,0.01,0,0,0.04
MC3,MP80,0.009333333,24.79323123,11.6041211,0.030169243,0.53348052,3.11037539,0.054451805,0.136129512,40.2619588,0.62,0.08,0.29,0.01,0,0,0
MC4,MP80,0.011,32.62578774,13.40970415,0.043426178,0.438754139,3.926325437,0.05091345,0.1871818,50.68209289,0.64,0.08,0.26,0.01,0,0,0
MC5,MP80,0.015,24.63341419,10.8191402,0.04703974,0.35442011,3.31549064,0.06082725,0.20032441,39.43065654,0.62,0.08,0.27,0.01,0,0,0.01
MC6,MP80,0.041,32.2449691,11.48469838,0.047559968,0.379101195,3.572511807,0.023435347,0.258478088,48.01075389,0.67,0.07,0.24,0.01,0,0,0.01
LJ1,MP80 2FL,0.920666667,7.489712112,0,1.056963421,17.84275546,0,1.158039158,0.077972711,27.62544286,0.27,0,0,0.65,0.04,0.04,0
LJ2,MP80 2FL,0.550666667,8.691401984,0.769333035,3.397832158,36.56060753,0.144291503,0.286920661,1.348826327,51.1992132,0.17,0,0.02,0.71,0.07,0.01,0.03
LJ3,MP80 2FL,0.756666667,4.587138101,0,1.990344875,42.35483364,0,1.961651027,0.046530564,50.94049821,0.09,0,0,0.83,0.04,0.04,0
LM1,MP80 2FL,0.458666667,12.067946,1.59455639,0.02078253,0.230619045,2.896481346,0.038883444,0.397214489,17.24648324,0.7,0.17,0.09,0.01,0,0,0.02
LM2,MP80 2FL,0.491666667,12.78831601,2.830586266,0.019580065,0.145122831,2.432995779,0.022344309,0.223673443,18.4626187,0.69,0.13,0.15,0.01,0,0,0.01
LM3,MP80 2FL,0.828666667,6.499133256,0,0.238248682,30.60586848,0,1.650227348,0.0660884,39.05956617,0.17,0,0,0.78,0.01,0.04,0
MA1,MP80 2FL,0.519,9.005997549,1.100362161,2.114732008,18.38594851,1.50203678,0.437881909,1.051142876,33.59810179,0.27,0.04,0.03,0.55,0.06,0.01,0.03
MA2,MP80 2FL,0.016,24.45375361,5.961024199,0.025596278,5.081442996,3.99301943,0.013961606,1.226876162,40.75567428,0.6,0.1,0.15,0.12,0,0,0.03
MA3,MP80 2FL,0.078333333,21.49511752,5.704671436,0.06598047,3.818949604,7.098178963,0,3.040380058,41.22327805,0.52,0.17,0.14,0.09,0,0,0.07
MA4,MP80 2FL,0.077333333,46.39796055,8.348533948,0.045111308,0.579582235,14.1566148,0.018142591,0.902716492,70.44866192,0.66,0.2,0.12,0.01,0,0,0.01
MA5,MP80 2FL,0.340333333,31.34590035,12.69758634,0.047949737,0.279431225,5.552248834,0.02066799,0.357142867,50.30092734,0.62,0.11,0.25,0.01,0,0,0.01
MA6,MP80 2FL,0.006,33.24929343,21.46330453,0.045547856,0.356043101,3.135745361,0.087888117,0.628047199,58.96586959,0.56,0.05,0.36,0.01,0,0,0.01
